muestreo,dia1,mes1,año,est
1,16,1,2007,ver
2,10,4,2008,oto
3,6,4,2009,oto
4,5,8,2009,inv
5,10,12,2009,ver
6,9,3,2010,oto
7,28,6,2010,inv
8,11,9,2010,pri
9,2,12,2010,ver
10,7,3,2011,oto
11,6,6,2011,inv
12,11,12,2011,ver
13,3,3,2012,oto
14,5,6,2012,inv
15,15,9,2012,pri
16,17,12,2012,ver
17,17,1,2014,ver
18,26,7,2014,inv
19,21,12,2015,ver
20,5,4,2015,oto
21,10,9,2015,pri
22,13,12,2015,ver
23,28,3,2016,oto
24,28,9,2016,pri
25,8,1,2017,ver
26,1,4,2017,oto
27,28,3,2018,oto
28,24,9,2018,pri
29,13,12,2018,ver
30,25,3,2019,oto
31,24,9,2019,pri
32,17,12,2019,ver
33,1,4,2020,oto
34,15,1,2021,ver
35,26,3,2021,oto
36,22,9,2021,pri
37,22,1,2022,ver
38,31,3,2022,oto
39,26,12,2022,ver
40,27,3,2023,oto
41,18,10,2023,pri
42,26,12,2023,ver
