Numero,Transorig,Transecta,GPSiLat,GPSiLon,GPSfLat,GPSfLon,LongKm,Estrato
1,TRIANGULO 1,TRI1,S50º14’35.2’’,"O69º00’20,2’’","S50º16’17,1’’","O69º01’27,3’’",4,ALTO
2,TRIANGULO 2,TRI2,"S50º16’17,1’’","O69º01’27,3’’","S50º17’30,4’’","O69º04’04,4’’","3,9",ALTO
3,RPT1 A,RPT1 A,S50º12’32.2’’,"O68º56’03,5’’",S50º12’26’’,"O68º54’47,9’’","3,1",ALTO
4,RPT1 B,RPT1 B,"S50º12’31,4’’","O68º53’52,6’’","S50º12’41,8’’","O68º51’48,9’’","2,5",BAJO
5,COML,COML,"S50º12’31,4’’","O68º56’18,1’’","S50º14’15,3’’","O68º56’43,3’’","3,4",ALTO
6,ANTENA 1,ANT1,"S50º14’14,6’’","O68º56’43,4’’","S50º15’50,4’’","O68º57’36,8’’","3,3",ALTO
7,ANTENA 2,ANT2,"S50º15’36,5’’","O68º57’52,0’’","S50°15´10,9”","O68°59´20,7”","3,1",ALTO
8,CHACRA,CHACRA,"S50°16´04,3”","O68°57´49,7”","S50°16’57,2”","O68°58´04,8”",2,BAJO
9,LAGUNA 1,LAG1,"S50°14´08,5”","O68°56´41,1”","S50°14´59,7”","O68°54´20,7”","3,5",ALTO
10,LAGUNA 2,LAG2,"S50°14´59,7”","O68°54´20,7”","S50°15´13,0”","O68°51´28,3”","3,6",ALTO
11,LAGUNA 3,LAG3,"S50°15´13,0”","O68°51´28,3”","S50°14´02,9”","O68°50´20,4”",3,ALTO
12,LIMITE SUR 1,LIMS1,"S50°22’56,3”","O69°10’47,6”","S50°24´45,9”","O69°11´26,1”","3,5",ALTO
13,LIMITE SUR 2,LIMS2,"S50°24´45,9”","O69°11´26,1”","S50°26´32,7”","O69°11´55,9”","3,4",ALTO
14,JACK 1,JACK 1,"S50°22´57,1”","O69°10´07,3”","S50°23´31,3”","O69°08´27,5”","2,5",BAJO
15,JACK 2,JACK 2,"S50°23´31,3”","O69°08´27,5”","S50°24´36,9”","O69°07´47,8”","2,4",BAJO
16,RP63 A1,RP63A1,"S50°16´17,3”","O69°00´14,3”","S50°17´24,7”","O69°00´12,9”","2,2",ALTO
17,RP63 B1,RP63B1,"S50°17´27,5”","O69°00´12,9”","S50°18´52,8”","O68°58´40,1”","3,6",BAJO
18,RP63 B2,RP63B2,"S50°18´52,8”","O68°58´40,1”","S50°10´19,4”","O68°56´58,3”","3,6",BAJO
19,RP63 B3,RP63B3,"S50°10´19,4”","O68°56´58,3”","S50°20´54,7”","O68°54´13,7”","3,9",BAJO
20,RP63 B4,RP63B4,"S50°20´54,7”","O68°54´13,7”","S50°20´35,8”","O68°52´49,4”","3,1",BAJO
21,RP63 B5,RP63B5,"S50°20´35,8”","O68°52´49,4”","S50°19´31,1”","O68°52´03,1”","2,9",BAJO
